race_name,country,years_available,avg_attendance,max_attendance,latest_year
British Grand Prix,UK,9,399611.1111111111,500000,2025
Mexican Grand Prix,Mexico,9,366294.3333333333,404958,2025
Australian Grand Prix,Australia,9,362755.3333333333,465498,2025
United States Grand Prix,USA,8,323132.5,440000,2024
Las Vegas Grand Prix,USA,2,310500.0,315000,2024
Dutch Grand Prix,Netherlands,4,305000.0,305000,2025
Canadian Grand Prix,Canada,8,302046.75,352000,2025
Belgian Grand Prix,Belgium,9,297177.1111111111,389000,2025
Sao Paulo Grand Prix,Brazil,3,287572.3333333333,304000,2025
Singapore Grand Prix,Singapore,9,267439.6666666667,302000,2025
Miami Grand Prix,USA,4,265861.5,275000,2025
Italian Grand Prix,Italy,8,254079.375,370000,2025
Hungarian Grand Prix,Hungary,9,244888.88888888888,310000,2025
Spanish Grand Prix,Spain,7,237571.0,300286,2025
Emilia Romagna Grand Prix,Italy,2,221000.0,242000,2025
Austrian Grand Prix,Austria,8,220250.0,304000,2025
Monaco Grand Prix,Monaco,4,212500.0,250000,2025
Abu Dhabi Grand Prix,UAE,5,189000.0,203000,2025
Japanese Grand Prix,Japan,9,183444.44444444444,266000,2025
Chinese Grand Prix,China,5,170000.0,220000,2025
Brazilian Grand Prix,Brazil,5,162787.0,236000,2022
French Grand Prix,France,3,161666.66666666666,200000,2022
German Grand Prix,Germany,2,159000.0,165000,2019
Russian Grand Prix,Russia,3,152333.33333333334,158000,2017
Saudi Arabian Grand Prix,Saudi Arabia,1,150000.0,150000,2023
Qatar Grand Prix,Qatar,3,145981.66666666666,162972,2025
Bahrain Grand Prix,Bahrain,9,96611.11111111111,105000,2025
Malaysian Grand Prix,Malaysia,3,93345.33333333333,110604,2017
Azerbaijan Grand Prix,Azerbaijan,4,81612.75,94000,2024
European Grand Prix,Azerbaijan,1,30000.0,30000,2016
