year,position,points,wins,constructor_name,team_canonical,valuation_usd_m,revenue_usd_m,valuation_per_championship_point,valuation_per_inverted_position
2023,1,860.0,21,Red Bull,Red Bull Racing,2420,,2.813953488372093,242.0
2023,2,409.0,0,Mercedes,Mercedes-AMG Petronas,2700,,6.601466992665037,300.0
2023,3,406.0,1,Ferrari,Ferrari,3130,,7.70935960591133,391.25
2023,4,302.0,0,McLaren,McLaren Racing,1560,,5.1655629139072845,222.85714285714286
2023,5,280.0,0,Aston Martin,Aston Martin F1,1140,,4.071428571428571,190.0
2023,6,120.0,0,Alpine F1 Team,Alpine F1 Team,1080,,9.0,216.0
2023,7,28.0,0,Williams,Williams Racing,795,,28.392857142857142,198.75
2023,8,25.0,0,AlphaTauri,AlphaTauri / RB,905,,36.2,301.6666666666667
2023,9,16.0,0,Alfa Romeo,Alfa Romeo / Sauber,815,,50.9375,407.5
2023,10,12.0,0,Haas F1 Team,Haas F1 Team,710,,59.166666666666664,710.0
2024,1,666.0,6,McLaren,McLaren Racing,2650,,3.978978978978979,265.0
2024,2,652.0,5,Ferrari,Ferrari,4780,,7.331288343558282,531.1111111111111
2024,3,589.0,9,Red Bull,Red Bull Racing,3500,,5.942275042444821,437.5
2024,4,468.0,4,Mercedes,Mercedes-AMG Petronas,3940,,8.418803418803419,562.8571428571429
2024,5,94.0,0,Aston Martin,Aston Martin F1,2070,,22.02127659574468,345.0
2024,6,65.0,0,Alpine F1 Team,Alpine F1 Team,1500,,23.076923076923077,300.0
2024,7,58.0,0,Haas F1 Team,Haas F1 Team,1020,,17.586206896551722,255.0
2024,8,46.0,0,RB F1 Team,Racing Bulls,1220,,26.52173913043478,406.6666666666667
2024,9,17.0,0,Williams,Williams Racing,1240,,72.94117647058823,620.0
2024,10,4.0,0,Sauber,Kick Sauber,1200,,300.0,1200.0
2025,1,833.0,14,McLaren,McLaren Racing,4730,,5.678271308523409,473.0
2025,2,469.0,2,Mercedes,Mercedes-AMG Petronas,5880,,12.537313432835822,653.3333333333334
2025,3,451.0,8,Red Bull,Red Bull Racing,4320,,9.57871396895787,540.0
2025,4,398.0,0,Ferrari,Ferrari,6400,,16.08040201005025,914.2857142857143
2025,5,137.0,0,Williams,Williams Racing,2140,,15.620437956204379,356.6666666666667
2025,6,92.0,0,RB F1 Team,Racing Bulls,2050,,22.282608695652176,410.0
2025,7,89.0,0,Aston Martin,Aston Martin F1,3000,,33.70786516853933,750.0
2025,8,79.0,0,Haas F1 Team,Haas F1 Team,1680,,21.265822784810126,560.0
2025,9,70.0,0,Sauber,Kick Sauber,1880,,26.857142857142858,940.0
2025,10,22.0,0,Alpine F1 Team,Alpine F1 Team,2080,,94.54545454545455,2080.0
