team,base_valuation_usd_m,scenario,championship_position,modeled_valuation_usd_m,valuation_change_usd_m,r_squared
Ferrari,3130,Win WCC (P1),1,4454.5916619074815,1324.5916619074815,0.5258803726876734
Ferrari,3130,Finish P2,2,4123.443746430611,993.4437464306111,0.5258803726876734
Ferrari,3130,Finish P3,3,3792.2958309537407,662.2958309537407,0.5258803726876734
Ferrari,3130,Midfield (P5),5,3130.0,0.0,0.5258803726876734
Ferrari,3130,Bottom Half (P8),8,2136.556253569389,-993.4437464306111,0.5258803726876734
Mercedes-AMG Petronas,2700,Win WCC (P1),1,4024.5916619074815,1324.5916619074815,0.5258803726876734
Mercedes-AMG Petronas,2700,Finish P2,2,3693.443746430611,993.4437464306111,0.5258803726876734
Mercedes-AMG Petronas,2700,Finish P3,3,3362.2958309537407,662.2958309537407,0.5258803726876734
Mercedes-AMG Petronas,2700,Midfield (P5),5,2700.0,0.0,0.5258803726876734
Mercedes-AMG Petronas,2700,Bottom Half (P8),8,1706.556253569389,-993.4437464306111,0.5258803726876734
Red Bull Racing,2420,Win WCC (P1),1,3744.5916619074815,1324.5916619074815,0.5258803726876734
Red Bull Racing,2420,Finish P2,2,3413.443746430611,993.4437464306111,0.5258803726876734
Red Bull Racing,2420,Finish P3,3,3082.2958309537407,662.2958309537407,0.5258803726876734
Red Bull Racing,2420,Midfield (P5),5,2420.0,0.0,0.5258803726876734
Red Bull Racing,2420,Bottom Half (P8),8,1426.556253569389,-993.4437464306111,0.5258803726876734
McLaren Racing,1500,Win WCC (P1),1,2824.5916619074815,1324.5916619074815,0.5258803726876734
McLaren Racing,1500,Finish P2,2,2493.443746430611,993.4437464306111,0.5258803726876734
McLaren Racing,1500,Finish P3,3,2162.2958309537407,662.2958309537407,0.5258803726876734
McLaren Racing,1500,Midfield (P5),5,1500.0,0.0,0.5258803726876734
McLaren Racing,1500,Bottom Half (P8),8,750.0,-993.4437464306111,0.5258803726876734
Aston Martin F1,1140,Win WCC (P1),1,2464.5916619074815,1324.5916619074815,0.5258803726876734
Aston Martin F1,1140,Finish P2,2,2133.443746430611,993.4437464306111,0.5258803726876734
Aston Martin F1,1140,Finish P3,3,1802.2958309537407,662.2958309537407,0.5258803726876734
Aston Martin F1,1140,Midfield (P5),5,1140.0,0.0,0.5258803726876734
Aston Martin F1,1140,Bottom Half (P8),8,570.0,-993.4437464306111,0.5258803726876734
Alpine F1 Team,1080,Win WCC (P1),1,2404.5916619074815,1324.5916619074815,0.5258803726876734
Alpine F1 Team,1080,Finish P2,2,2073.443746430611,993.4437464306111,0.5258803726876734
Alpine F1 Team,1080,Finish P3,3,1742.2958309537407,662.2958309537407,0.5258803726876734
Alpine F1 Team,1080,Midfield (P5),5,1080.0,0.0,0.5258803726876734
Alpine F1 Team,1080,Bottom Half (P8),8,540.0,-993.4437464306111,0.5258803726876734
Williams Racing,700,Win WCC (P1),1,2024.5916619074815,1324.5916619074815,0.5258803726876734
Williams Racing,700,Finish P2,2,1693.443746430611,993.4437464306111,0.5258803726876734
Williams Racing,700,Finish P3,3,1362.2958309537407,662.2958309537407,0.5258803726876734
Williams Racing,700,Midfield (P5),5,700.0,0.0,0.5258803726876734
Williams Racing,700,Bottom Half (P8),8,350.0,-993.4437464306111,0.5258803726876734
AlphaTauri / RB,710,Win WCC (P1),1,2034.5916619074815,1324.5916619074815,0.5258803726876734
AlphaTauri / RB,710,Finish P2,2,1703.443746430611,993.4437464306111,0.5258803726876734
AlphaTauri / RB,710,Finish P3,3,1372.2958309537407,662.2958309537407,0.5258803726876734
AlphaTauri / RB,710,Midfield (P5),5,710.0,0.0,0.5258803726876734
AlphaTauri / RB,710,Bottom Half (P8),8,355.0,-993.4437464306111,0.5258803726876734
Alfa Romeo / Sauber,710,Win WCC (P1),1,2034.5916619074815,1324.5916619074815,0.5258803726876734
Alfa Romeo / Sauber,710,Finish P2,2,1703.443746430611,993.4437464306111,0.5258803726876734
Alfa Romeo / Sauber,710,Finish P3,3,1372.2958309537407,662.2958309537407,0.5258803726876734
Alfa Romeo / Sauber,710,Midfield (P5),5,710.0,0.0,0.5258803726876734
Alfa Romeo / Sauber,710,Bottom Half (P8),8,355.0,-993.4437464306111,0.5258803726876734
Haas F1 Team,710,Win WCC (P1),1,2034.5916619074815,1324.5916619074815,0.5258803726876734
Haas F1 Team,710,Finish P2,2,1703.443746430611,993.4437464306111,0.5258803726876734
Haas F1 Team,710,Finish P3,3,1372.2958309537407,662.2958309537407,0.5258803726876734
Haas F1 Team,710,Midfield (P5),5,710.0,0.0,0.5258803726876734
Haas F1 Team,710,Bottom Half (P8),8,355.0,-993.4437464306111,0.5258803726876734
